Time 466.9, 10 sec internal node vector rate 0.00 loops/sec 213281.07
  vector rates in 2.3611e-2, out 4.3338e-3, drop 1.9327e-2, punt 0.0000e0
             Name                 State         Calls          Vectors        Suspends         Clocks       Vectors/Call  
api-rx-from-ring               "any wait"                0               0              24          8.08e5            0.00
bfd-process                   "event wait"               0               0               1          3.22e4            0.00
bond-process                  "event wait"               0               0               1          3.06e4            0.00
dev-config                    "not started               1               0               0          2.94e4            0.00
drop                             active                  1               9               0          1.35e3            9.00
error-drop                       active                  1               9               0          1.96e3            9.00
fib-walk                       "any wait"                0               0             233          3.86e4            0.00
flow-report-process            "any wait"                0               0               1          4.00e4            0.00
interface-output                 active                  1               2               0          2.02e3            2.00
ip-neighbor-event             "event wait"               0               0               1          1.51e5            0.00
ip4-full-reassembly-expire-wal "any wait"                0               0            9304          2.46e4            0.00
ip4-neighbor-age-process      "event wait"               0               0               1          3.04e4            0.00
ip4-sv-reassembly-expire-walk  "any wait"                0               0              47          1.67e4            0.00
ip6-full-reassembly-expire-wal "any wait"                0               0            9304          2.33e4            0.00
ip6-mld-process                "any wait"                0               0             466          1.30e4            0.00
ip6-neighbor-age-process      "event wait"               0               0               1          3.23e4            0.00
ip6-ra-process                 "any wait"                0               0             466          2.11e4            0.00
ip6-rs-process                 "any wait"                0               0               1          3.04e4            0.00
ip6-sv-reassembly-expire-walk  "any wait"                0               0              47          1.91e4            0.00
l2-arp-term-publisher         "event wait"               0               0               1          5.12e4            0.00
l2fib-mac-age-scanner-process "event wait"               0               0               1          7.88e4            0.00
pg-input                        disabled                 2              11               0          2.26e4            5.50
pg0-output                       active                  1               2               0          3.32e3            2.00
pg0-tx                           active                  1               2               0          5.31e3            2.00
rd-cp-process                  "any wait"                0               0               1          4.23e4            0.00
rust-classify-forward            active                  1               2               0          2.87e3            2.00
rust-classify-node               active                  1              11               0          7.70e3           11.00
startup-config-process        "not started               1               0               1          7.10e4            0.00
statseg-collector-process      "suspended"               0               0              47          2.22e6            0.00
unix-cli-new-session           "any wait"                0               0               9          1.55e4            0.00
unix-cli-process-0            "event wait"               0               0              24          6.18e5            0.00
unix-cli-process-1              "running"                2               0               5          1.92e6            0.00
vpe-link-state-process        "event wait"               0               0               2          3.12e4            0.00
